2、您的性别：,3、您的学历：,4、您当前所在的省市：,5、您目前使用的手机品牌是？,6、您一般更换手机的周期是多长？,7、您更换手机的动机是什么？,8、您目前所使用手机的价格？,9、您对5G网络的了解程度？,10、您目前使用的手机是否支持5G网络？,11、随着5G时代的到来，你最关心的是什么？,12、您是否了解5G手机的定价？,13、您对5G手机是否有购买意愿？,14、您最高能接受的5G手机价格？,15、如果购买5G手机，哪些因素对你的影响大？,16、您看好5G手机的未来发展趋势吗？
女,本科,黑龙江-哈尔滨,苹果,三年以上,手机性能/续航能力/空间不足,7001元及以上,一般了解,不支持,套餐资费,是,没有,6001-7000元,价格,看好
男,研究生,浙江-杭州,苹果,三年以上,手机性能/续航能力/空间不足,5001-6000元,一般了解,不支持,网络覆盖,否,没有,5001-6000元,网速→电池续航→价格→品牌,看好
女,研究生,安徽-蚌埠,小米/红米,两到三年,手机性能/续航能力/空间不足,2000元及以下,一般了解,不支持,套餐资费,否,没有,2000-3000元,价格→配置（如像素、储存空间）→外观→电池续航,看好
男,本科,吉林-长春,华为/荣耀,两到三年,手机性能/续航能力/空间不足,3001-4000元,非常了解,不支持,网络覆盖,是,有,2000元及以下,价格→电池续航→网速→配置（如像素、储存空间）→品牌→外观→售后服务,看好
女,研究生,江苏-盐城,华为/荣耀,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,3001-4000元,一般了解,不支持,套餐资费,是,有,7001元及以上,价格→配置（如像素、储存空间）→外观→电池续航,看好
女,本科,广东-广州,华为/荣耀,两到三年,体验新功能┋手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,套餐资费,否,有,2000-3000元,价格→配置（如像素、储存空间）→电池续航→品牌→外观→售后服务→网速,看好
男,博士生及以上,云南-昆明,苹果,三年以上,手机性能/续航能力/空间不足,2000-3000元,一般了解,不了解,套餐资费,否,有,3001-4000元,价格,看好
女,本科,内蒙古-呼和浩特,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,设备升级问题,是,有,5001-6000元,售后服务→品牌→价格→网速→配置（如像素、储存空间）→电池续航→外观,看好
女,研究生,天津-武清区,华为/荣耀,两到三年,手机性能/续航能力/空间不足,3001-4000元,一般了解,支持,套餐资费,是,有,4001-5000元,价格→品牌→外观,看好
女,本科,浙江-杭州,OPPO,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不了解,套餐资费,否,有,3001-4000元,配置（如像素、储存空间）→网速→价格→电池续航→外观→品牌→售后服务,观望
女,本科,广东-广州,华为/荣耀,三年以上,手机性能/续航能力/空间不足,5001-6000元,一般了解,不支持,套餐资费,是,有,5001-6000元,配置（如像素、储存空间）→价格→品牌→网速→电池续航→外观→售后服务,看好
男,研究生,山东-聊城,华为/荣耀,两到三年,手机性能/续航能力/空间不足,3001-4000元,非常了解,不支持,套餐资费,是,有,3001-4000元,配置（如像素、储存空间）,看好
男,本科,北京-西城区,华为/荣耀,一到两年,体验新功能,5001-6000元,非常了解,不支持,套餐资费,是,有,7001元及以上,品牌→配置（如像素、储存空间）→外观,看好
女,本科,广西-柳州,华为/荣耀,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,手机价格,否,有,2000-3000元,价格→配置（如像素、储存空间）→电池续航,看好
男,本科,北京-东城区,魅族,一到两年,手机性能/续航能力/空间不足,2000元及以下,一般了解,不支持,套餐资费,是,有,2000-3000元,价格→网速→外观,看好
男,本科,陕西-西安,华为/荣耀,一到两年,丢失/损坏,2000元及以下,一般了解,不支持,套餐资费,是,有,2000-3000元,价格→配置（如像素、储存空间）→电池续航→网速→售后服务→外观→品牌,看好
男,本科,浙江-杭州,苹果,两到三年,手机性能/续航能力/空间不足┋丢失/损坏,7001元及以上,非常了解,不支持,网络覆盖,是,没有,7001元及以上,电池续航→网速→价格→配置（如像素、储存空间）→品牌→外观→售后服务,观望
男,本科,山东-临沂,小米/红米,两到三年,手机性能/续航能力/空间不足,2000元及以下,不了解,不支持,套餐资费,否,没有,3001-4000元,价格→网速→配置（如像素、储存空间）→品牌→外观→电池续航→售后服务,看好
男,本科,浙江-杭州,华为/荣耀,一到两年,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,网络覆盖,否,有,2000-3000元,价格→网速→配置（如像素、储存空间）→品牌→外观→电池续航→售后服务,看好
男,本科,浙江-嘉兴,华为/荣耀,三年以上,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,新应用场景,否,有,2000-3000元,价格→配置（如像素、储存空间）→品牌→外观→网速→电池续航→售后服务,看好
女,本科,北京-朝阳区,华为/荣耀,两到三年,丢失/损坏,2000-3000元,一般了解,不支持,新应用场景,否,有,2000-3000元,价格→配置（如像素、储存空间）→品牌,看好
女,本科,天津-和平区,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000元及以下,一般了解,不支持,手机价格,否,有,2000-3000元,价格→配置（如像素、储存空间）→电池续航→品牌→售后服务→网速→外观,观望
女,本科,河北-石家庄,华为/荣耀,三年以上,手机性能/续航能力/空间不足┋丢失/损坏,2000-3000元,一般了解,不支持,套餐资费,否,有,3001-4000元,价格→配置（如像素、储存空间）→网速→电池续航→售后服务→外观→品牌,看好
男,本科,上海-杨浦区,小米/红米,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,新应用场景,是,没有,4001-5000元,价格,看好
男,博士生及以上,北京-海淀区,华为/荣耀,两到三年,手机性能/续航能力/空间不足,2000-3000元,一般了解,不支持,新应用场景,否,有,4001-5000元,价格→电池续航→配置（如像素、储存空间）,看好
男,研究生,江苏-南京,华为/荣耀,一到两年,手机性能/续航能力/空间不足,4001-5000元,一般了解,不支持,套餐资费,是,没有,4001-5000元,网速→配置（如像素、储存空间）,看好
